"","Last.app","Head of Product","Product","P-7","Barcelona","In Office","EUR","60","70","80","","","","","",""
"","LambdaLoopers","Full Stack Engineer (NodeJS + TypeScript)","Full-stack","IC-2","N/A","Remote","EUR","41","46","51","","","","","",""
"","BigBlueAnalytics","Senior DevOps Engineer","Devops","IC-3","N/A","Remote","EUR","45","52.5","60","","","","","",""
"","Kombo AI","Founding Software Engineer (Salary + Equity)","Backend","IC-3","Barcelona","Remote","EUR","50","50","50","","","","","",""
"","Karlota.app","Founding software engineer","Backend","IC-2","N/A","Remote","EUR","19","20","21","","","","","",""
"","Bankflip","Software Engineer","Backend","IC-2","Barcelona","In Office","EUR","40","45","50","","","","","",""
"","Intellum","Senior Data Engineer","Data","IC-3","N/A","Remote","USD","90","110","130","","","","","",""
"","Gartner","Senior Software Engineer (.NET)","Backend","IC-3","Barcelona","In Office","EUR","60","65","70","","","","","",""
"","Gartner","Software Engineer (iOS)","Mobile","IC-2","Barcelona","In Office","EUR","45","47.5","50","","","","","",""
"","Remote.com","Senior Backend Engineer (Elixir)","Backend","IC-3","N/A","Remote","USD","51","83.5","116","","","","","",""
"","Benevity","Software Developer","Backend","IC-2","Barcelona","In Office","EUR","50","57.5","65","","","","","",""
"","Telefónica Global","Partner Engineer","Management","IC-2","N/A","Remote","EUR","25","27.5","30","","","","","",""
"","Schwarz","Go developers for eurpean hub","Backend","IC-2","Barcelona","In Office","EUR","40","55","70","","","","","",""
"","StreamSets.com","Senior Software Engineer","Backend","IC-3","Barcelona","Remote","EUR","60","75","90","","","","","",""
"","StreamSets.com","Software Engineer","Backend","IC-2","Barcelona","Remote","EUR","40","55","70","","","","","",""
"","Product Madness","Data Analyst","Data","IC-2","Barcelona","In Office","EUR","35","40","45","","","","","",""
"","Product Madness","Data Scientist","Data","IC-2","Barcelona","In Office","EUR","40","45","50","","","","","",""
"","makers99","Data Engineer and Visualisation Specialist","Data","IC-2","Barcelona","In Office","EUR","50","55","60","","","","","",""
"","Gartner","Engineering Manager (React.js, Next.js)","Management","M-2","Barcelona","In Office","EUR","80","85","90","","","","","",""
"","Gartner","Backend Software Engineer (Elixir / GraphQL)","Backend","IC-2","Barcelona","In Office","EUR","52","56.5","61","","","","","",""
"","Innovamat","QA Specialist","QA","IC-2","Barcelona","Remote","EUR","22","24","26","","","","","",""
"","BigBlueAnalytics","Senior Frontend Engineer (React)","Frontend","IC-3","N/A","Remote","EUR","40","50","60","","","","","",""
"","BigBlueAnalytics","Senior Software Engineer (Python)","Backend","IC-3","N/A","Remote","EUR","40","50","60","","","","","",""
"","BigBlueAnalytics","Senior Data Engineer (ETLs)","Data","IC-3","N/A","Remote","EUR","40","50","60","","","","","",""
"","TwinRed","Senior / Lead Software Engineer (AdTech)","Backend","IC-3","Barcelona","In Office","EUR","60","72.5","85","","","","","",""
"","Aizon","DevOps Engineer / AWS & Terraform","Devops","IC-2","Barcelona","In Office","EUR","30","45","60","","","","","",""
"","TheyDo","QA Engineer","QA","IC-2","N/A","Remote","EUR","65","75","85","","","","","",""
"","TROOP","Backend Engineer (Node.js/TS)","Backend","IC-2","N/A","Remote","EUR","40","50","60","","","","","",""
"","TROOP","Front-End Engineer (Vue 3/TS)","Frontend","IC-2","N/A","Remote","EUR","40","50","60","","","","","",""
"","Union Avatars","BackEnd Senior Developer","Backend","IC-3","Barcelona","In Office","EUR","40","45","50","","","","","",""
"","Mitek Systems","Head of Infrastructure","Management","M-2","N/A","Remote","EUR","70","80","90","","","","","",""
"","Stripe","Backend Engineer @ Globalization Platform","Backend","IC-2","Barcelona","Remote","EUR","76","95","114","","","","","",""
"","OMNIOS.AI","DevOps & MLOps Engineer (Freelance)","Devops","IC-2","Barcelona","Remote","EUR","50","57.5","65","","","","","",""
"","haddock app","Sr Fulltsack Engineer","Full-stack","IC-3","Barcelona","Remote","EUR","45","52.5","60","","","","","",""
"","Roca Group","Software Architect Java &PHP","Architecture","IC-7","Barcelona","Remote","EUR","50","57.5","65","","","","","",""
"","ABANCA","Backend DevOps | 42k + variable | 100% Remoto","Devops","IC-2","N/A","Remote","EUR","42","42","42","","","","","",""
"","PromoFarma/DocMorris","Full Stack Developer (m/w/d)","Full-stack","IC-2","Barcelona","In Office","EUR","35","47.5","60","","","","","",""
"","PromoFarma/DocMorris","React & React Native Frontend Engineer (m/f/d)","Frontend","IC-2","Barcelona","In Office","EUR","35","47.5","60","","","","","",""
"","Kantox","Ruby on Rails Software Engineer","Backend","IC-3","Barcelona","Remote","EUR","55","62.5","70","","","","","",""
"","Kantox","Elixir Software Engineer","Backend","IC-3","Barcelona","Remote","EUR","55","65","75","","","","","",""
"","haddock app","Senior Fullstack Engineer","Full-stack","IC-3","Barcelona","Remote","EUR","45","52.5","60","","","","","",""
"","Ankorstore","Senior Devops Engineer","Devops","IC-3","N/A","Remote","EUR","60","75","90","","","","","",""
"","Openfort","Senior Backend/Devops","Devops","IC-3","Barcelona","In Office","USD","60","70","80","","","","","",""
"","Openfort","Senior Frontend/Game","Frontend","IC-3","Barcelona","In Office","USD","60","70","80","","","","","",""
